"","id","quality","severity","patch","week","varability"
"463",43,"good","slowdrying","slowincrease",8,130
"464",44,"good","slowdrying","slowincrease",8,30
"465",45,"good","slowdrying","slowincrease",8,29
"466",46,"good","slowdrying","slowincrease",8,48
"467",47,"good","slowdrying","slowincrease",8,11
"468",48,"good","slowdrying","slowincrease",8,18
"469",49,"good","fastdrying","fastincrease",8,47
"470",50,"good","fastdrying","fastincrease",8,9
"471",51,"good","fastdrying","fastincrease",8,38
"472",52,"good","fastdrying","fastincrease",8,61
"473",53,"good","fastdrying","fastincrease",8,31
"474",54,"good","fastdrying","fastincrease",8,26
"475",55,"good","fastdrying","slowincrease",8,25
"476",56,"good","fastdrying","slowincrease",8,23
"477",57,"good","fastdrying","slowincrease",8,41
"478",58,"good","fastdrying","slowincrease",8,37
"479",59,"good","fastdrying","slowincrease",8,17
"480",60,"good","fastdrying","slowincrease",8,56
"487",7,"poor","slowdrying","fastincrease",9,228
"488",8,"poor","slowdrying","fastincrease",9,99
"489",9,"poor","slowdrying","fastincrease",9,76
"490",10,"poor","slowdrying","fastincrease",9,289
"491",11,"poor","slowdrying","fastincrease",9,29
"492",12,"poor","slowdrying","fastincrease",9,59
"493",13,"poor","slowdrying","slowincrease",9,82
"494",14,"poor","slowdrying","slowincrease",9,98
"495",15,"poor","slowdrying","slowincrease",9,106
"496",16,"poor","slowdrying","slowincrease",9,114
"497",17,"poor","slowdrying","slowincrease",9,69
"498",18,"poor","slowdrying","slowincrease",9,113
"499",19,"poor","fastdrying","fastincrease",9,50
"500",20,"poor","fastdrying","fastincrease",9,58
"501",21,"poor","fastdrying","fastincrease",9,70
"502",22,"poor","fastdrying","fastincrease",9,103
"503",23,"poor","fastdrying","fastincrease",9,46
"504",24,"poor","fastdrying","fastincrease",9,83
"505",25,"poor","fastdrying","slowincrease",9,31
"506",26,"poor","fastdrying","slowincrease",9,111
"507",27,"poor","fastdrying","slowincrease",9,160
"508",28,"poor","fastdrying","slowincrease",9,137
"509",29,"poor","fastdrying","slowincrease",9,100
"510",30,"poor","fastdrying","slowincrease",9,20
"517",37,"good","slowdrying","fastincrease",9,69
"518",38,"good","slowdrying","fastincrease",9,24
"519",39,"good","slowdrying","fastincrease",9,16
"520",40,"good","slowdrying","fastincrease",9,32
"521",41,"good","slowdrying","fastincrease",9,36
"522",42,"good","slowdrying","fastincrease",9,60
"523",43,"good","slowdrying","slowincrease",9,81
"524",44,"good","slowdrying","slowincrease",9,27
"525",45,"good","slowdrying","slowincrease",9,23
"526",46,"good","slowdrying","slowincrease",9,22
"527",47,"good","slowdrying","slowincrease",9,8
"528",48,"good","slowdrying","slowincrease",9,12
"529",49,"good","fastdrying","fastincrease",9,60
"530",50,"good","fastdrying","fastincrease",9,11
"531",51,"good","fastdrying","fastincrease",9,7
"532",52,"good","fastdrying","fastincrease",9,46
"533",53,"good","fastdrying","fastincrease",9,12
"534",54,"good","fastdrying","fastincrease",9,58
"535",55,"good","fastdrying","slowincrease",9,27
"536",56,"good","fastdrying","slowincrease",9,13
"537",57,"good","fastdrying","slowincrease",9,15
"538",58,"good","fastdrying","slowincrease",9,15
"539",59,"good","fastdrying","slowincrease",9,9
"540",60,"good","fastdrying","slowincrease",9,38
"547",7,"poor","slowdrying","fastincrease",10,291
"548",8,"poor","slowdrying","fastincrease",10,103
"549",9,"poor","slowdrying","fastincrease",10,93
"550",10,"poor","slowdrying","fastincrease",10,306
"551",11,"poor","slowdrying","fastincrease",10,25
"552",12,"poor","slowdrying","fastincrease",10,63
"553",13,"poor","slowdrying","slowincrease",10,97
"554",14,"poor","slowdrying","slowincrease",10,140
"555",15,"poor","slowdrying","slowincrease",10,158
"556",16,"poor","slowdrying","slowincrease",10,130
"557",17,"poor","slowdrying","slowincrease",10,167
"558",18,"poor","slowdrying","slowincrease",10,174
"559",19,"poor","fastdrying","fastincrease",10,5
"560",20,"poor","fastdrying","fastincrease",10,71
"561",21,"poor","fastdrying","fastincrease",10,3
"562",22,"poor","fastdrying","fastincrease",10,139
"563",23,"poor","fastdrying","fastincrease",10,35
"564",24,"poor","fastdrying","fastincrease",10,23
"565",25,"poor","fastdrying","slowincrease",10,46
"566",26,"poor","fastdrying","slowincrease",10,102
"567",27,"poor","fastdrying","slowincrease",10,185
"568",28,"poor","fastdrying","slowincrease",10,1
"569",29,"poor","fastdrying","slowincrease",10,32
"570",30,"poor","fastdrying","slowincrease",10,0
"577",37,"good","slowdrying","fastincrease",10,58
"578",38,"good","slowdrying","fastincrease",10,32
"579",39,"good","slowdrying","fastincrease",10,18
"580",40,"good","slowdrying","fastincrease",10,57
"581",41,"good","slowdrying","fastincrease",10,34
"582",42,"good","slowdrying","fastincrease",10,81
"583",43,"good","slowdrying","slowincrease",10,134
"584",44,"good","slowdrying","slowincrease",10,48
"585",45,"good","slowdrying","slowincrease",10,22
"586",46,"good","slowdrying","slowincrease",10,4
"587",47,"good","slowdrying","slowincrease",10,9
"588",48,"good","slowdrying","slowincrease",10,10
"589",49,"good","fastdrying","fastincrease",10,22
"590",50,"good","fastdrying","fastincrease",10,10
"591",51,"good","fastdrying","fastincrease",10,0
"592",52,"good","fastdrying","fastincrease",10,16
"593",53,"good","fastdrying","fastincrease",10,4
"594",54,"good","fastdrying","fastincrease",10,48
"595",55,"good","fastdrying","slowincrease",10,16
"596",56,"good","fastdrying","slowincrease",10,18
"597",57,"good","fastdrying","slowincrease",10,18
"598",58,"good","fastdrying","slowincrease",10,12
"599",59,"good","fastdrying","slowincrease",10,8
"600",60,"good","fastdrying","slowincrease",10,10
"607",7,"poor","slowdrying","fastincrease",11,245
"608",8,"poor","slowdrying","fastincrease",11,69
"609",9,"poor","slowdrying","fastincrease",11,19
"610",10,"poor","slowdrying","fastincrease",11,107
"611",11,"poor","slowdrying","fastincrease",11,53
"612",12,"poor","slowdrying","fastincrease",11,66
"613",13,"poor","slowdrying","slowincrease",11,80
"614",14,"poor","slowdrying","slowincrease",11,146
"615",15,"poor","slowdrying","slowincrease",11,155
"616",16,"poor","slowdrying","slowincrease",11,117
"617",17,"poor","slowdrying","slowincrease",11,106
"618",18,"poor","slowdrying","slowincrease",11,96
"619",19,"poor","fastdrying","fastincrease",11,0
"620",20,"poor","fastdrying","fastincrease",11,120
"621",21,"poor","fastdrying","fastincrease",11,0
"622",22,"poor","fastdrying","fastincrease",11,0
"623",23,"poor","fastdrying","fastincrease",11,11
"624",24,"poor","fastdrying","fastincrease",11,0
"625",25,"poor","fastdrying","slowincrease",11,0
"626",26,"poor","fastdrying","slowincrease",11,0
"627",27,"poor","fastdrying","slowincrease",11,168
"628",28,"poor","fastdrying","slowincrease",11,0
"629",29,"poor","fastdrying","slowincrease",11,0
"630",30,"poor","fastdrying","slowincrease",11,1
"637",37,"good","slowdrying","fastincrease",11,36
"638",38,"good","slowdrying","fastincrease",11,21
"639",39,"good","slowdrying","fastincrease",11,33
"640",40,"good","slowdrying","fastincrease",11,67
"641",41,"good","slowdrying","fastincrease",11,39
"642",42,"good","slowdrying","fastincrease",11,73
"643",43,"good","slowdrying","slowincrease",11,136
"644",44,"good","slowdrying","slowincrease",11,86
"645",45,"good","slowdrying","slowincrease",11,19
"646",46,"good","slowdrying","slowincrease",11,17
"647",47,"good","slowdrying","slowincrease",11,12
"648",48,"good","slowdrying","slowincrease",11,32
"649",49,"good","fastdrying","fastincrease",11,22
"650",50,"good","fastdrying","fastincrease",11,10
"651",51,"good","fastdrying","fastincrease",11,0
"652",52,"good","fastdrying","fastincrease",11,6
"653",53,"good","fastdrying","fastincrease",11,3
"654",54,"good","fastdrying","fastincrease",11,54
"655",55,"good","fastdrying","slowincrease",11,40
"656",56,"good","fastdrying","slowincrease",11,14
"657",57,"good","fastdrying","slowincrease",11,11
"658",58,"good","fastdrying","slowincrease",11,11
"659",59,"good","fastdrying","slowincrease",11,5
"660",60,"good","fastdrying","slowincrease",11,0
"667",7,"poor","slowdrying","fastincrease",12,2
"668",8,"poor","slowdrying","fastincrease",12,60
"669",9,"poor","slowdrying","fastincrease",12,0
"670",10,"poor","slowdrying","fastincrease",12,0
"671",11,"poor","slowdrying","fastincrease",12,94
"672",12,"poor","slowdrying","fastincrease",12,82
"673",13,"poor","slowdrying","slowincrease",12,62
"674",14,"poor","slowdrying","slowincrease",12,140
"675",15,"poor","slowdrying","slowincrease",12,142
"676",16,"poor","slowdrying","slowincrease",12,0
"677",17,"poor","slowdrying","slowincrease",12,0
"678",18,"poor","slowdrying","slowincrease",12,24
"679",19,"poor","fastdrying","fastincrease",12,0
"680",20,"poor","fastdrying","fastincrease",12,101
"681",21,"poor","fastdrying","fastincrease",12,0
"682",22,"poor","fastdrying","fastincrease",12,0
"683",23,"poor","fastdrying","fastincrease",12,0
"684",24,"poor","fastdrying","fastincrease",12,0
"685",25,"poor","fastdrying","slowincrease",12,0
"686",26,"poor","fastdrying","slowincrease",12,0
"687",27,"poor","fastdrying","slowincrease",12,0
"688",28,"poor","fastdrying","slowincrease",12,0
"689",29,"poor","fastdrying","slowincrease",12,0
"690",30,"poor","fastdrying","slowincrease",12,0
"697",37,"good","slowdrying","fastincrease",12,0
"698",38,"good","slowdrying","fastincrease",12,0
"699",39,"good","slowdrying","fastincrease",12,17
"700",40,"good","slowdrying","fastincrease",12,43
"701",41,"good","slowdrying","fastincrease",12,20
"702",42,"good","slowdrying","fastincrease",12,67
"703",43,"good","slowdrying","slowincrease",12,84
"704",44,"good","slowdrying","slowincrease",12,55
"705",45,"good","slowdrying","slowincrease",12,12
"706",46,"good","slowdrying","slowincrease",12,52
"707",47,"good","slowdrying","slowincrease",12,8
"708",48,"good","slowdrying","slowincrease",12,18
"709",49,"good","fastdrying","fastincrease",12,16
